"Activity.Type","Date","Title","Distance","Time","Avg.HR","Avg.Pace"
"Running",2024-11-28 06:06:03,"Hollywood Running",12.18,"01:06:55",134,"5:30"
"Running",2024-02-22 06:15:19,"Hollywood Running",5.56,"00:30:44",125,"5:32"
"Running",2022-08-18 06:05:58,"Westwood Running",12.31,"01:05:24",146,"5:19"
"Running",2025-10-17 06:43:13,"Westwood Running",5,"00:27:30",130,"5:30"
"Running",2021-03-05 17:04:11,"Hollywood Running",9.45,"00:45:14",156,"4:47"
"Running",2021-05-26 16:27:14,"Westwood Running",4.36,"00:21:24",167,"4:54"
"Running",2024-03-03 05:47:16,"Westwood Running",43.01,"04:12:20",150,"5:52"
"Running",2022-07-27 18:10:36,"Westwood Running",2.31,"00:12:12",141,"5:17"
"Running",2025-12-05 06:45:01,"Westwood Running",5,"00:27:47",141,"5:33"
"Running",2022-07-24 06:01:33,"Westwood Running",30.6,"02:47:51",152,"5:29"
"Running",2025-06-04 06:24:11,"Westwood Running",5.1,"00:27:08",149,"5:19"
"Running",2022-01-11 08:42:40,"Hollywood Running",6.09,"00:30:58",156,"5:05"
"Running",2024-05-28 18:00:34,"Westwood Running",5.01,"00:26:13",147,"5:14"
"Running",2025-12-18 08:06:34,"Hollywood Running",7.36,"00:39:21",147,"5:21"
"Running",2024-05-29 17:30:27,"Westwood Running",5.01,"00:25:59",149,"5:11"
"Running",2021-07-02 06:10:48,"Hollywood Running",4.58,"00:22:18",150,"4:52"
"Running",2022-03-20 05:47:32,"Westwood Running",21.17,"01:54:36",146,"5:25"
"Running",2025-05-13 06:09:34,"Westwood Running",10.09,"00:54:53",127,"5:26"
"Running",2021-10-01 06:10:23,"Hollywood Running",4.51,"00:25:41",159,"5:42"
"Running",2024-07-15 06:24:54,"Westwood Running",4.71,"00:26:37",141,"5:39"
"Running",2025-11-06 07:33:50,"Westwood Running",8.68,"00:43:14",147,"4:59"
"Running",2020-11-11 15:54:51,"Westwood Running",5.57,"00:26:23",174,"4:44"
"Running",2023-11-15 06:01:01,"Hollywood Running",6.89,"00:35:55",144,"5:13"
"Running",2024-02-05 06:13:32,"Hollywood Running",5.62,"00:30:30",146,"5:26"
"Running",2024-12-04 06:35:41,"Hollywood Running",5.01,"00:27:01",137,"5:24"
"Running",2025-04-26 07:32:32,"Westwood Running",4.02,"00:21:11",132,"5:16"
"Running",2023-11-22 06:14:27,"Hollywood Running",5.59,"00:29:38",155,"5:18"
"Running",2021-01-16 07:44:16,"Westwood Running",6.91,"00:34:32",142,"5:00"
"Running",2021-10-22 06:10:57,"Westwood Running",4.52,"00:25:07",137,"5:34"
"Running",2025-11-03 06:36:24,"Westwood Running",5.01,"00:28:46",136,"5:45"
"Running",2023-05-03 17:36:25,"Hollywood Running",4.35,"00:22:34",138,"5:12"
"Running",2025-05-28 06:37:59,"Westwood Running",5.03,"00:28:18",141,"5:38"
"Running",2025-05-05 07:50:15,"Westwood Running",7.56,"00:43:20",133,"5:44"
"Running",2025-12-14 07:26:19,"Westwood Running",24.29,"02:16:29",135,"5:37"
"Running",2024-05-15 17:24:51,"Hollywood Running",5.01,"00:25:44",149,"5:08"
"Running",2024-08-07 17:13:08,"Westwood Running",5.02,"00:25:32",141,"5:05"
"Running",2024-04-26 17:07:11,"Westwood Running",5.01,"00:25:43",160,"5:08"
"Running",2021-02-05 17:22:38,"Hollywood Running",8.71,"00:40:55",169,"4:42"
"Running",2021-12-03 06:09:46,"Hollywood Running",4.98,"00:25:21",154,"5:06"
"Running",2024-11-26 16:00:49,"Hollywood Running",5,"00:25:36",151,"5:07"
"Running",2024-07-01 06:25:51,"Westwood Running",5.01,"00:27:18",140,"5:27"
"Running",2023-07-07 06:12:19,"Hollywood Running",4.3,"00:23:15",132,"5:24"
"Running",2021-12-23 06:42:38,"Westwood Running",10.21,"00:52:38",151,"5:09"
"Running",2020-04-19 06:45:10,"Hollywood Running",10.02,"00:50:19",150,"5:01"
"Running",2021-02-08 18:01:57,"Hollywood Running",5,"00:25:50",151,"5:10"
"Running",2025-11-14 16:48:54,"Westwood Running",4.85,"00:25:14",156,"5:12"
"Running",2021-04-06 07:09:28,"Westwood Running",8.96,"00:45:03",162,"5:02"
"Running",2022-01-31 06:14:44,"Westwood Running",5.59,"00:28:43",141,"5:09"
"Running",2023-02-16 15:00:05,"Hollywood Running",6.45,"00:32:44",146,"5:05"
"Running",2022-07-13 06:02:40,"Westwood Running",4.33,"00:23:45",148,"5:29"
"Running",2021-06-23 17:39:57,"Westwood Running",5.43,"00:25:46",175,"4:45"
"Running",2023-05-13 06:25:15,"Hollywood Running",22.36,"02:03:52",127,"5:32"
"Running",2025-11-24 06:40:28,"Westwood Running",5.62,"00:30:37",152,"5:27"
"Running",2023-05-18 15:47:18,"Hollywood Running",5.01,"00:23:45",152,"4:44"
"Running",2024-07-26 06:32:31,"Hollywood Running",5.02,"00:27:34",138,"5:30"
"Running",2023-11-28 06:12:06,"Westwood Running",5.54,"00:30:37",147,"5:32"
"Running",2024-11-11 18:09:14,"Hollywood Running",5,"00:25:52",139,"5:10"
"Running",2025-02-12 06:21:13,"Westwood Running",5.61,"00:27:19",155,"4:52"
"Running",2023-08-19 09:00:26,"Hollywood Running",4.94,"00:20:36",159,"4:10"
"Running",2025-10-02 17:18:11,"Hollywood Running",16.02,"01:18:38",147,"4:55"
"Running",2024-01-08 06:16:33,"Westwood Running",4.98,"00:28:10",150,"5:39"
"Running",2025-12-30 08:02:59,"Hollywood Running",14.58,"01:16:27",153,"5:15"
"Running",2025-10-11 06:53:06,"Hollywood Running",28.57,"02:27:51",154,"5:10"
"Treadmill Running",2021-01-30 07:34:51,"Treadmill Running",7.59,"00:30:20",147,"4:00"
"Running",2024-12-03 06:31:12,"Westwood Running",5.61,"00:30:17",146,"5:24"
"Running",2021-10-24 06:22:51,"Westwood Running",21.13,"01:55:43",138,"5:29"
"Running",2021-11-26 17:28:01,"Westwood Running",6.9,"00:35:14",147,"5:06"
"Running",2025-08-11 07:36:10,"Westwood Running",10.12,"00:55:06",145,"5:27"
"Running",2020-09-06 08:16:30,"Hollywood Running",9.17,"00:47:30",149,"5:11"
"Running",2024-09-18 08:01:01,"Hollywood Running",5,"00:27:19",142,"5:28"
"Running",2021-02-04 05:48:43,"Westwood Running",6.92,"00:34:09",146,"4:56"
"Running",2020-07-08 06:46:44,"Hollywood Running",4.52,"00:23:16",164,"5:09"
"Running",2024-06-03 06:21:29,"Hollywood Running",4.69,"00:27:13",128,"5:48"
"Running",2020-12-03 15:20:34,"Westwood Running",1.73,"00:08:25.2",117,"4:52"
"Running",2025-03-07 06:22:09,"Hollywood Running",5.01,"00:26:35",137,"5:18"
"Running",2023-04-14 08:01:27,"Westwood Running",5.89,"00:29:37",158,"5:02"
"Running",2021-02-21 07:13:35,"Hollywood Running",16.67,"01:28:43",159,"5:19"
"Running",2024-05-25 09:24:09,"Westwood Running",3.64,"00:19:52",157,"5:27"
