"Activity.Type","Date","Title","Distance","Time","Avg.HR","Avg.Pace"
"Running",2020-05-07 06:12:38,"Westwood Running",7.92,"00:38:52",153,"4:55"
"Running",2021-12-07 17:26:16,"Hollywood Running",5.58,"00:27:43",161,"4:58"
"Running",2024-10-09 06:26:05,"Westwood Running",5.62,"00:30:24",137,"5:25"
"Running",2025-06-10 06:33:17,"Westwood Running",5.06,"00:26:52",136,"5:19"
"Running",2023-02-26 06:10:44,"Westwood Running",25.21,"02:15:11",141,"5:22"
"Running",2023-03-29 18:17:37,"Westwood Running",1.63,"00:08:04.9",140,"4:57"
"Running",2021-11-30 08:44:15,"Westwood Running",2.3,"00:11:33",155,"5:01"
"Running",2023-12-14 08:25:38,"Hollywood Running",5.51,"00:29:27",140,"5:21"
"Running",2021-06-23 06:15:28,"Westwood Running",4.3,"00:21:51",152,"5:05"
"Running",2024-06-23 08:31:24,"Westwood Running",21.13,"01:31:25",165,"4:20"
"Running",2024-08-18 06:43:27,"Hollywood Running",22.88,"02:15:22",144,"5:55"
"Running",2022-03-08 08:41:30,"Westwood Running",6.2,"00:32:04",142,"5:11"
"Running",2022-01-05 18:37:21,"Westwood Running",1.46,"00:06:42.0",163,"4:35"
"Running",2025-04-10 17:27:39,"Westwood Running",10.18,"00:47:35",161,"4:40"
"Running",2025-10-05 07:04:41,"Westwood Running",38.01,"03:23:45",138,"5:22"
"Running",2023-09-13 06:11:27,"Hollywood Running",4.65,"00:25:19",128,"5:26"
"Running",2022-07-01 18:56:31,"Westwood Running",1.77,"00:09:08.2",148,"5:10"
"Running",2022-08-22 18:10:49,"Westwood Running",5.32,"00:25:00",143,"4:42"
"Running",2025-06-18 17:42:41,"Hollywood Running",5.08,"00:25:33",142,"5:02"
"Running",2022-06-13 05:09:21,"Hollywood Running",25.82,"02:19:12",154,"5:24"
"Running",2025-06-21 09:23:33,"Hollywood Running",0.61,"00:03:17.1",172,"5:22"
"Running",2020-06-09 06:52:08,"Hollywood Running",4.67,"00:23:51",161,"5:06"
"Running",2025-04-20 06:00:09,"Hollywood Running",21.11,"01:53:47",142,"5:23"
"Running",2024-02-12 17:19:11,"Hollywood Running",5.58,"00:28:34",149,"5:07"
"Running",2024-09-01 06:16:48,"Hollywood Running",24.21,"02:19:11",135,"5:45"
"Running",2022-11-22 08:24:37,"Westwood Running",7.42,"00:39:16",143,"5:17"
"Running",2021-12-07 06:15:50,"Hollywood Running",5.6,"00:29:36",146,"5:17"
"Running",2020-07-22 17:35:24,"Hollywood Running",5.22,"00:27:02",169,"5:10"
"Running",2022-07-12 17:45:36,"Westwood Running",4.21,"00:22:22",153,"5:19"
"Running",2025-07-13 06:24:16,"Westwood Running",21.23,"02:01:18",137,"5:43"
"Running",2020-11-09 16:01:06,"Westwood Running",6.65,"00:32:06",157,"4:50"
"Running",2025-08-18 07:34:00,"Westwood Running",7.49,"00:45:23",137,"6:04"
"Running",2021-03-15 06:26:36,"Hollywood Running",8.66,"00:41:05",155,"4:44"
"Running",2024-01-24 15:53:31,"Hollywood Running",4.95,"00:25:49",141,"5:13"
"Running",2022-12-02 05:49:24,"Westwood Running",14.93,"01:17:07",147,"5:10"
"Running",2024-11-01 16:44:21,"Westwood Running",5.02,"00:27:04",134,"5:23"
"Running",2024-02-13 06:17:32,"Westwood Running",5.81,"00:30:33",145,"5:16"
"Running",2025-09-04 17:09:35,"Westwood Running",14.02,"01:08:58",148,"4:55"
"Running",2021-10-06 06:11:59,"Hollywood Running",4.95,"00:27:01",146,"5:27"
"Running",2023-01-27 06:29:57,"Westwood Running",5.57,"00:29:10",153,"5:14"
"Running",2024-10-16 06:29:01,"Westwood Running",5.34,"00:30:28",143,"5:42"
"Running",2022-11-21 15:39:49,"Westwood Running",4.98,"00:24:33",161,"4:56"
"Running",2025-04-17 07:16:54,"Hollywood Running",7.75,"00:41:42",136,"5:23"
"Running",2024-12-30 07:18:35,"Hollywood Running",14.44,"01:20:42",148,"5:35"
"Running",2022-11-28 08:26:42,"Westwood Running",7.86,"00:41:58",151,"5:21"
"Running",2023-09-16 09:02:54,"Westwood Running",5.02,"00:20:13",173,"4:02"
"Running",2023-08-09 17:27:00,"Hollywood Running",5.03,"00:22:04",155,"4:23"
"Running",2025-07-01 06:28:17,"Westwood Running",5.02,"00:28:39",127,"5:43"
"Running",2022-11-22 15:01:12,"Hollywood Running",7.28,"00:37:05",138,"5:06"
"Running",2023-09-15 17:17:03,"Hollywood Running",5.03,"00:25:19",148,"5:02"
"Running",2020-05-23 07:12:22,"Hollywood Running",8.75,"00:44:37",157,"5:06"
"Running",2024-11-09 07:55:19,"Hollywood Running",16.44,"01:14:16",146,"4:31"
"Running",2023-04-11 17:47:18,"Hollywood Running",5.61,"00:26:02",157,"4:38"
"Running",2023-06-14 18:29:56,"Hollywood Running",4.99,"00:25:02",145,"5:01"
"Running",2024-06-16 06:09:33,"Hollywood Running",24.7,"02:28:37",127,"6:01"
"Running",2023-01-30 18:00:33,"Hollywood Running",4.99,"00:24:56",158,"5:00"
"Running",2024-10-22 06:30:01,"Westwood Running",5,"00:26:24",134,"5:17"
"Running",2025-07-14 06:31:50,"Westwood Running",5.01,"00:27:11",148,"5:26"
"Running",2024-07-24 16:32:33,"Hollywood Running",11.01,"01:01:01",134,"5:32"
"Running",2024-07-10 15:59:48,"Hollywood Running",5.02,"00:25:48",148,"5:08"
"Running",2025-12-19 16:41:55,"Westwood Running",5.65,"00:28:47",154,"5:06"
"Running",2023-07-06 15:02:46,"Hollywood Running",7.38,"00:36:01",156,"4:53"
"Running",2021-01-29 17:10:07,"Westwood Running",6.94,"00:32:44",160,"4:43"
"Running",2022-01-28 05:53:40,"Hollywood Running",5.64,"00:29:59",141,"5:19"
"Running",2023-07-17 08:41:53,"Westwood Running",5.49,"00:29:53",127,"5:27"
"Running",2022-11-23 18:04:36,"Westwood Running",1.7,"00:08:17.7",154,"4:53"
"Running",2023-09-19 06:19:35,"Westwood Running",4.53,"00:24:56",134,"5:30"
"Running",2023-09-06 15:48:12,"Westwood Running",5.06,"00:25:08",145,"4:58"
"Running",2024-08-23 17:59:38,"Westwood Running",5.02,"00:24:38",151,"4:54"
"Running",2024-09-21 08:34:34,"Hollywood Running",11.56,"00:54:14",154,"4:41"
"Running",2025-08-28 06:35:28,"Westwood Running",13.89,"01:26:50",121,"6:15"
"Running",2021-03-29 06:42:18,"Hollywood Running",8.93,"00:46:25",149,"5:12"
"Running",2020-04-10 06:35:33,"Westwood Running",8.9,"00:44:44",153,"5:02"
"Running",2024-05-07 17:47:52,"Westwood Running",5.01,"00:25:25",160,"5:04"
"Running",2022-06-17 08:42:55,"Westwood Running",7.18,"00:36:52",159,"5:08"
"Running",2022-06-10 17:32:06,"Hollywood Running",7.41,"00:34:34",162,"4:40"
"Running",2021-03-24 17:38:30,"Hollywood Running",5.65,"00:26:23",167,"4:40"
"Running",2023-08-26 08:38:20,"Westwood Running",2.5,"00:12:36",146,"5:03"
"Running",2022-07-12 08:38:41,"Hollywood Running",5.59,"00:29:38",152,"5:18"
"Running",2025-03-07 16:23:10,"Westwood Running",9.17,"00:43:27",157,"4:44"
"Running",2024-01-10 17:03:30,"Hollywood Running",5.59,"00:28:00",165,"5:01"
"Running",2020-12-19 15:11:27,"Westwood Running",4.7,"00:21:31",165,"4:35"
"Running",2023-01-20 05:54:37,"Hollywood Running",10.24,"00:54:04",153,"5:17"
"Running",2024-08-12 17:05:44,"Westwood Running",4.99,"00:26:34",151,"5:19"
"Running",2023-12-12 06:13:31,"Hollywood Running",5.61,"00:30:17",134,"5:24"
"Running",2022-05-11 06:13:30,"Westwood Running",4.92,"00:25:41",150,"5:13"
"Running",2025-10-14 17:19:38,"Westwood Running",8.95,"00:44:30",148,"4:58"
"Running",2021-11-02 05:19:18,"Hollywood Running",10.22,"00:53:18",134,"5:13"
"Running",2024-10-03 06:23:02,"Hollywood Running",5.01,"00:28:27",133,"5:41"
"Running",2024-11-15 16:47:59,"Westwood Running",4.99,"00:26:13",138,"5:15"
"Running",2024-06-01 09:03:39,"Westwood Running",5.03,"00:19:56",172,"3:58"
"Running",2022-10-31 08:17:00,"Westwood Running",7.32,"00:39:26",154,"5:23"
"Running",2025-12-08 06:47:27,"Hollywood Running",5.62,"00:31:01",145,"5:31"
"Running",2020-11-08 07:41:44,"Hollywood Running",12.64,"01:03:59",153,"5:04"
"Running",2022-06-21 08:27:21,"Hollywood Running",8.97,"00:47:51",158,"5:20"
"Running",2021-02-13 07:03:20,"Westwood Running",15.28,"01:22:29",165,"5:24"
"Running",2024-05-25 08:25:20,"Westwood Running",3.43,"00:17:59",156,"5:15"
"Running",2023-03-03 17:24:32,"Hollywood Running",4.27,"00:21:06",147,"4:57"
"Running",2020-12-31 08:52:40,"Hollywood Running",5.72,"00:27:40",149,"4:50"
"Running",2025-04-01 06:32:58,"Westwood Running",5.02,"00:26:32",138,"5:17"
"Running",2025-01-08 17:16:54,"Hollywood Running",5.02,"00:25:41",159,"5:07"
"Running",2023-04-03 06:15:25,"Westwood Running",23.03,"02:02:56",147,"5:20"
"Running",2022-07-13 18:08:27,"Westwood Running",2.18,"00:10:34",147,"4:51"
"Running",2025-06-02 17:52:21,"Hollywood Running",5.07,"00:25:04",155,"4:57"
"Running",2023-10-29 09:00:10,"Westwood Running",21.19,"01:30:32",171,"4:16"
"Running",2023-02-02 15:05:28,"Hollywood Running",5.53,"00:27:48",148,"5:02"
"Running",2024-11-30 09:20:13,"Hollywood Running",0.71,"00:03:54.9",170,"5:32"
"Running",2022-12-16 06:15:06,"Westwood Running",4.97,"00:25:21",157,"5:06"
"Running",2022-04-13 06:18:34,"Westwood Running",11.64,"01:03:42",150,"5:28"
"Running",2025-12-16 16:53:36,"Westwood Running",15.66,"01:22:13",149,"5:15"
"Running",2023-05-12 17:18:38,"Westwood Running",4.98,"00:24:36",138,"4:56"
"Running",2023-03-15 18:22:00,"Westwood Running",1.41,"00:06:24.3",130,"4:32"
"Running",2021-09-22 06:14:12,"Hollywood Running",4.91,"00:26:20",143,"5:22"
"Running",2023-02-02 08:38:08,"Hollywood Running",6.04,"00:32:19",149,"5:21"
"Treadmill Running",2025-01-26 08:39:23,"Treadmill Running",1.5,"00:08:59.3",141,"6:00"
"Running",2025-09-23 06:37:16,"Westwood Running",5.02,"00:26:45",149,"5:20"
"Running",2024-01-29 06:09:37,"Hollywood Running",5.6,"00:31:26",142,"5:37"
"Running",2023-11-13 05:35:24,"Hollywood Running",10.04,"00:54:00",153,"5:23"
"Running",2025-11-17 06:38:29,"Hollywood Running",5.01,"00:27:04",151,"5:24"
"Running",2024-04-07 07:19:48,"Hollywood Running",66.8,"08:46:00",139,"7:52"
"Running",2022-05-03 17:29:55,"Westwood Running",5.02,"00:24:26",157,"4:52"
"Running",2022-03-27 06:24:26,"Westwood Running",22.59,"02:04:06",147,"5:30"
"Running",2022-09-11 09:00:13,"Westwood Running",21.09,"01:34:15",168,"4:28"
"Running",2024-12-04 18:43:52,"Hollywood Running",5.65,"00:29:37",139,"5:15"
"Running",2020-05-15 06:40:36,"Hollywood Running",5.81,"00:28:37",169,"4:55"
"Running",2023-01-18 05:44:53,"Westwood Running",10.06,"00:56:09",157,"5:35"
"Running",2023-07-22 09:02:56,"Westwood Running",4.99,"00:20:25",178,"4:05"
"Running",2025-08-22 16:41:54,"Hollywood Running",4.42,"00:23:04",149,"5:13"
"Running",2021-12-12 06:32:50,"Hollywood Running",8.64,"00:46:15",154,"5:21"
"Running",2022-10-04 17:27:18,"Westwood Running",5,"00:25:03",145,"5:01"
"Running",2023-04-17 08:06:00,"Westwood Running",5.66,"00:29:42",139,"5:15"
"Running",2025-01-29 17:30:21,"Westwood Running",5.62,"00:28:08",156,"5:00"
"Running",2024-06-14 15:52:19,"Hollywood Running",5.01,"00:26:24",149,"5:16"
"Running",2021-02-24 06:36:59,"Hollywood Running",5.53,"00:26:59",151,"4:53"
"Running",2024-12-08 06:30:22,"Hollywood Running",22.26,"01:56:58",140,"5:15"
"Running",2023-03-10 17:03:41,"Hollywood Running",8.47,"00:43:30",142,"5:08"
"Running",2024-03-04 17:55:15,"Hollywood Running",5.63,"00:29:40",133,"5:16"
"Running",2022-05-27 06:19:45,"Hollywood Running",4.6,"00:24:20",143,"5:18"
"Running",2025-11-17 17:11:31,"Westwood Running",7.29,"00:36:38",149,"5:01"
"Running",2020-09-01 06:41:07,"Hollywood Running",6.87,"00:35:56",159,"5:14"
"Running",2025-07-15 06:29:37,"Westwood Running",5,"00:27:23",144,"5:28"
"Running",2024-05-19 06:24:11,"Westwood Running",25.34,"02:25:33",137,"5:45"
"Running",2023-03-22 18:23:35,"Westwood Running",1.68,"00:08:23.2",138,"5:00"
"Running",2020-02-12 17:04:51,"Hollywood Running",5.36,"00:27:18",167,"5:06"
"Running",2024-10-23 06:25:21,"Westwood Running",5.01,"00:27:02",139,"5:24"
"Running",2021-08-14 07:14:22,"Westwood Running",10.13,"00:53:10",178,"5:15"
"Running",2022-01-21 06:13:00,"Hollywood Running",4.98,"00:25:27",154,"5:07"
"Running",2023-10-11 08:07:41,"Hollywood Running",4.98,"00:26:29",150,"5:19"
"Running",2024-03-09 09:25:53,"Westwood Running",9.76,"00:54:50",141,"5:37"
"Running",2024-08-05 17:50:37,"Westwood Running",4.43,"00:23:39",143,"5:20"
"Running",2025-09-16 06:39:48,"Westwood Running",5.04,"00:27:06",140,"5:23"
"Running",2022-01-31 15:50:13,"Westwood Running",5.6,"00:28:10",144,"5:02"
"Running",2021-02-01 15:42:35,"Hollywood Running",5.59,"00:26:09",154,"4:40"
"Running",2024-12-22 07:04:08,"Westwood Running",17.59,"01:45:24",128,"6:00"
"Running",2024-09-04 18:02:42,"Hollywood Running",5.02,"00:26:03",154,"5:12"
"Running",2020-10-05 07:29:20,"Westwood Running",5.86,"00:27:13",178,"4:38"
"Running",2021-03-23 06:19:37,"Hollywood Running",6.93,"00:33:51",153,"4:53"
"Running",2022-05-15 06:38:56,"Hollywood Running",27.64,"02:27:30",157,"5:20"
"Running",2021-01-08 11:50:38,"Hollywood Running",5.01,"00:23:45",165,"4:44"
"Running",2025-01-21 16:03:56,"Westwood Running",5.01,"00:24:52",138,"4:58"
"Running",2023-09-15 06:16:30,"Westwood Running",4.53,"00:25:14",141,"5:34"
"Running",2021-04-11 07:45:55,"Westwood Running",15.15,"01:18:33",147,"5:11"
"Running",2024-05-31 17:56:55,"Hollywood Running",5.03,"00:26:15",154,"5:13"
"Running",2024-08-17 08:34:54,"Westwood Running",3.42,"00:17:14",143,"5:02"
"Running",2024-03-15 06:12:27,"Hollywood Running",4.67,"00:25:11",143,"5:24"
"Running",2023-05-28 06:07:03,"Westwood Running",26.27,"02:20:49",138,"5:22"
"Running",2024-01-08 17:34:10,"Westwood Running",5.01,"00:25:34",153,"5:06"
"Running",2024-12-02 06:36:13,"Westwood Running",5.61,"00:30:43",129,"5:28"
"Running",2025-08-05 17:46:54,"Hollywood Running",6.61,"00:33:14",150,"5:02"
"Running",2022-05-24 16:16:04,"Hollywood Running",5.04,"00:25:10",138,"5:00"
"Running",2022-11-09 06:13:43,"Westwood Running",4.62,"00:24:37",154,"5:20"
"Running",2025-12-22 06:53:59,"Westwood Running",5.63,"00:31:18",136,"5:34"
"Running",2020-10-03 07:27:54,"Westwood Running",7.99,"00:39:58",140,"5:00"
"Running",2024-12-09 06:41:42,"Hollywood Running",6.1,"00:31:22",147,"5:08"
"Running",2025-02-06 17:07:08,"Westwood Running",11.38,"00:55:28",154,"4:52"
"Running",2024-06-03 16:49:37,"Westwood Running",4.44,"00:24:12",149,"5:27"
"Running",2023-05-26 06:11:31,"Hollywood Running",4.56,"00:24:00",145,"5:16"
"Running",2020-12-24 07:49:36,"Westwood Running",10.17,"00:48:46",154,"4:48"
"Running",2020-04-24 06:43:11,"Hollywood Running",4.65,"00:23:47",156,"5:07"
"Running",2022-01-12 06:17:54,"Westwood Running",4.97,"00:26:22",153,"5:18"
"Running",2024-12-26 06:36:07,"Westwood Running",25.69,"02:30:41",143,"5:52"
"Running",2025-03-23 06:25:42,"Hollywood Running",28.92,"02:43:32",130,"5:39"
"Running",2025-01-11 06:36:42,"Westwood Running",7.68,"00:44:46",131,"5:50"
"Running",2024-10-16 16:52:36,"Hollywood Running",5.64,"00:29:40",149,"5:16"
"Running",2021-03-01 15:45:45,"Westwood Running",5.92,"00:28:41",157,"4:51"
"Running",2020-07-25 07:21:18,"Hollywood Running",6.43,"00:32:49",159,"5:06"
"Running",2025-02-27 17:43:05,"Westwood Running",5.01,"00:24:41",141,"4:55"
"Running",2024-05-23 06:11:45,"Hollywood Running",5.74,"00:30:25",157,"5:18"
"Running",2024-10-17 06:29:20,"Hollywood Running",4.98,"00:27:10",138,"5:27"
"Running",2025-01-13 16:19:42,"Hollywood Running",5.02,"00:26:24",141,"5:16"
"Running",2020-12-14 18:37:05,"Westwood Running",4.74,"00:21:48",135,"4:36"
"Running",2025-09-13 07:51:18,"Westwood Running",7.78,"00:41:55",132,"5:23"
"Running",2022-06-28 08:22:27,"Westwood Running",7.47,"00:42:12",145,"5:39"
"Running",2020-11-29 07:42:27,"Westwood Running",10.65,"00:53:56",160,"5:04"
"Running",2020-05-31 08:21:44,"Westwood Running",10.85,"00:57:53",158,"5:20"
"Running",2024-07-03 16:11:13,"Westwood Running",5.01,"00:26:24",144,"5:16"
"Running",2025-06-28 09:26:31,"Westwood Running",0.61,"00:03:06.3",158,"5:07"
"Running",2024-03-04 06:17:42,"Hollywood Running",5.62,"00:31:36",141,"5:37"
"Running",2024-06-20 06:13:55,"Westwood Running",4.69,"00:26:45",141,"5:42"
"Running",2024-11-30 08:59:32,"Hollywood Running",5,"00:19:33",168,"3:54"
"Running",2025-07-21 06:36:57,"Hollywood Running",5.01,"00:26:45",148,"5:21"
"Running",2020-08-26 17:24:14,"Westwood Running",5.23,"00:26:02",169,"4:59"
"Running",2020-09-30 06:24:49,"Hollywood Running",4.94,"00:24:45",163,"5:00"
"Running",2023-08-19 09:22:47,"Hollywood Running",1.24,"00:07:22",154,"5:57"
"Running",2022-05-13 17:48:19,"Westwood Running",5.65,"00:27:58",150,"4:57"
"Running",2024-09-22 06:41:12,"Hollywood Running",22.33,"02:16:16",127,"6:06"
"Running",2025-02-23 06:07:44,"Hollywood Running",36.48,"03:19:44",149,"5:29"
"Running",2020-08-16 08:32:18,"Westwood Running",8.43,"00:42:08",161,"5:00"
"Running",2023-11-22 16:03:22,"Westwood Running",5.01,"00:25:39",157,"5:07"
"Running",2021-10-29 05:43:33,"Westwood Running",6.88,"00:37:23",146,"5:26"
"Running",2023-03-21 18:25:14,"Hollywood Running",4.99,"00:25:20",156,"5:04"
"Running",2023-01-04 18:26:00,"Westwood Running",1.66,"00:07:56.3",144,"4:47"
"Running",2021-02-02 10:33:06,"Hollywood Running",5.55,"00:26:17",160,"4:44"
"Running",2025-08-08 06:42:45,"Hollywood Running",5,"00:26:24",132,"5:17"
"Running",2025-02-17 14:47:21,"Westwood Running",4.97,"00:25:32",147,"5:08"
"Running",2022-01-18 05:47:38,"Hollywood Running",4.98,"00:26:10",157,"5:15"
"Running",2023-07-11 17:23:34,"Hollywood Running",1.51,"00:07:18.9",148,"4:51"
"Running",2024-10-15 06:26:36,"Hollywood Running",5.01,"00:27:12",136,"5:26"
"Running",2021-04-07 06:19:18,"Westwood Running",4.57,"00:22:41",158,"4:58"
"Running",2023-08-01 06:42:55,"Westwood Running",14.1,"01:15:58",142,"5:23"
"Running",2022-03-09 06:11:48,"Hollywood Running",5.62,"00:28:42",149,"5:07"
"Running",2020-05-02 07:31:49,"Hollywood Running",5.77,"00:28:19",164,"4:55"
"Running",2021-02-11 11:06:56,"Hollywood Running",4.93,"00:24:03",161,"4:53"
"Running",2024-12-24 06:52:52,"Hollywood Running",22.29,"02:07:56",145,"5:44"
"Running",2024-11-06 08:08:34,"Hollywood Running",5,"00:27:03",137,"5:24"
"Running",2021-05-13 17:03:37,"Hollywood Running",5.97,"00:29:13",154,"4:54"
"Running",2025-07-04 06:40:38,"Westwood Running",5.01,"00:26:37",136,"5:19"
"Running",2023-05-30 05:58:12,"Hollywood Running",6.18,"00:31:35",146,"5:06"
"Running",2021-10-13 06:14:15,"Hollywood Running",4.94,"00:27:05",133,"5:29"
"Running",2023-09-12 17:15:08,"Westwood Running",5.04,"00:25:30",156,"5:03"
"Running",2023-06-13 17:16:03,"Westwood Running",2.71,"00:13:48",136,"5:06"
"Running",2024-08-10 09:02:55,"Hollywood Running",5.01,"00:19:48",171,"3:57"
"Treadmill Running",2020-03-21 07:57:48,"Treadmill Running",6,"00:30:03",149,"5:00"
"Running",2022-10-10 15:09:12,"Westwood Running",5.56,"00:26:51",149,"4:50"
